,text,ReviewStar
694,"Good earphone for sound quality but there is Bluetooth range problem , in specifications boat says 10m range but actually this earphone has range upto only 3m, when battery is below 50% it's Bluetooth range is only 1m, Also battery backup is very poor
",2
1866,"Sound is awesome. Fits perfectly and noise cancellation is awesome. Connectivity could be better but I can't complain. Overall it is a great earphone!
",5
8255,"Excellent product.Too good sound quality....Bass is just awesome...I am in love with it..
",5
9231,"good quality sound only problem cable gets tangled could have been better and the wires protrude straight from the ear piece with out a grip or a cable protector ok  Happy
",5
12759,"Really bad connectivity with iPhone . Getting disconnect while speaking. Battery life is very poor. Donâ€™t buy this product
",1
2377,"Sound quality is good but battery backup is worst
",4
14254,"Durability
",5
12688,"Battery doesn't work for more than 3 or 4 hours. Please dont buy this product.I want refund.
",1
5194,"Wonderful experience nice headphonesVoice is good along with handling.
",5
5095,"Not feeling much comfort and build quality
",3
342,"Not upto the mark. I thought it is one of the best product.  But sound quality is average. Battery dies in just 4 to 6 hours. Getting pain in my ears as I wear this while watching movies or listening music. I thought there was some problem with the product I got first so I had to replace this item. But the product I got this earphone second time then I realised it's not just one item  but the whole model is bad. In just 1 month it's gone. Not charging and cannot switch on the product.I would rate just 0 star.
",1
10932,"Decent sound, not great. Cables are thin and easily prone to damage. In my case, mic stopped working after 4-5 months. I instead went for Marley's smile Jamaica earphones.
",3
13621,"Good product
",4
4963,"The design could have been better. But sound quality is really nice at such price
",4
12346,"Ok
",3
4794,"Except the battery everything is just amazing
",4
7529,"Very bad experience with a brand like senheiser. I always loved the earphones from this brand. This is my third earphones from the same brand.I believe I have been given a copy product by the seller. It has stopped working in less than a month.
",1
14080,"very excellent product jbl harmon music
",5
2191,"Range of Bluetooth is not good. Sound is more of Bass rather than a balance. disconnects and produces noise while talking on phone for long
",3
11426,"Good
",5
9657,"please replace the earphone  Sennheiser CX 275 S In -Ear Universal Mobile Headphone With Mic (Black)
",1
5204,"Using these headphones from day 1 and the vocals are clear and bass is good. Best under price product!
",5
2567,"Sound quality is not that good.,but still a good deal in 1000.,Overall a good package
",4
4327,"Poor quality don't buy this
",1
8496,"Simple nice n best, could be made of nice wire
",5
4791,"Worth the money - 5 star
",5
4715,"Nice product.
",4
1923,"Best product with best battery back up. Worth for the t
",5
4286,"excellent quality nd the bass is superb at this range as i purchased it for jus Rs. 999
",5
4259,"Sound is ok
",4
2667,"Can run upto 12 hours continously once charged fully.
",5
2072,"Good product
",4
1904,"There are connectivity issues once in a while. Rest all good. Sound quality is impressive.
",4
13175,"I replaced 4 time in a year
",3
9170,"A really good product, totally worth the money! The sound quality is amazing and so is the bass! Totally recommend to anyone looking for a good headphone in this budget!
",4
12011,"Nice one
",4
10059,"Please somebody help me to return this product. my one earphone is not working
",1
7106,"Good
",5
9467,"This product got from amazon and itâ€™s amazing!! Quality of sound is good and it comes with extra ear buds for all sizes got this product for good discount
",5
7727,"If u r a person who takes care of gadgets very well, then this suits you.. good sound quality is the pro.. but itâ€™s wire is very thin, maybe the smallest in dia Iâ€™ve ever seen.. u have to take extra care while handling.. also it uses cheap plastic,appears cheap product..
",4
7712,"not for bass lover. I am returning it .I will not buy any earphones in future based on reviews. It's better to personally use a one and then buy it. Literally MI basic earphones are better than this. Because considering the price, it's not upto the mark.
",3
13773,"Wonderful product, good quality
",5
8237,"good sound but  wire quality is not good
",5
8185,"Excellent sound. This is my second purchase after loosing one in travel.
",5
8007,"Mids & base is niceBut in call  i feel sound comes soo bassy
",4
9499,"Good One
",5
13088,"Very very poor quality product by jbl....no bass,no song clarity.....
",1
2907,"This is a best product for that price. Sound quality is really good
",4
6885,"Love the product. It's amazing. Perfect for jogging, listening to music , or talking. It's a good buy for anyone who is looking for a Bluetooth earphone
",5
13034,"Stand by time up to 2 days and video play using time up to 6 to 8 hour
",5
9445,"I am not happy with the bass quality. Other headphones with the same range provides good bass quality
",3
8458,"The sound is good. But the make is very delicate. Not for the daily use. For me it dint last even for 6 complete months.
",3
11873,"Made in Germany...for song lovers
",4
612,"Good product with good connectivity and sounds best if u use at 80% volume u can experience a good feel around neck dose not feel weight too much battery backup is good it runs about 5 hrs in single charge which is sufficient for me for 2 days good product if u think u need bass u can have it
",4
2068,"I saw the high reviews and decided to buy. The  wireless earphones are better than the wired one; the sound quality is amazing. I use it everyday for my workouts.
",5
11890,"Awesome stereo quality.
",5
4977,"Worst products I have ever seen stop  been working after use of 15 day...tooo bad
",1
5411,"Battery could have been better
",4
1609,"Product is nice but there is some battery issue. Sound is automatically stop when battery is 40 and it start when we charge for sometime. After charging for few minutes it will again show 80 percentage
",4
4772,"Awesome headphones from boat at this range. Ireally loved it after using from months.
",5
5834,"I am using this earphones since 2 months therefore I am the right person to tell you about this earphones.So the pros and cons of this earphones are:-Pros-1.Jbl brand name2.Good build qualityCons-1.low battery life i.e. 6 hours if you listen to song at a middle level volume.2.long time required for charging approx 2 hours3.noise cancellation is equal to zero4.this earphone hardly fit in any ear5.low sound6.Only bass no trebel and midsConclusion:-There are other better options it's a no from my side
",2
1112,"Pros -1. Sound quality is not bad2. Build quality is goodCons-1. No haptic motor (doesn't viberate on call)2. Battery life is below average3. Design is also not up to the mark as the buds keep hanging all the time
",1
9671,"Ufug
",3
8075,"Good soundPowerful bassRoom in style...wire was not good...I feel the voice was good.,For general use it was best ...But regular use not good...
",5
7690,"This bass driven earphone from Sennheiser may not be for everyone. But if you are looking for a lightweight earphone which has remote and mic as well as sounds decent, this is the one to buy
",5
8329,"I owned these pair of earphones for 2 years, they sounded the same as the first day, till I put them in the Washing machine 2 years later.The the sound is phenomenal in this range of prices.They are ultra-durable, if you ask me.If you want to buy this, go ahead. You'll not regret it.
",5
10949,"Awesome quality earphones and very good quality of music delivery. Doesn't have as much bass as Sony MD series counterparts, but music wise these are noticeably betterLove them!!!
",5
9628,"Awesome sound quality!!! Can also be used as ear plug if not playing music.. Good one to have!!
",5
6603,"Battery life performance in 2 days
",5
7499,"Very poor quality sound that becomes harsh with slight increase in volume. Total waste of money. Mi headphone worth 599 is much better.
",1
6331,"This product Bluetooth rang is very low .I am getting only in 3 meter
",2
7730,"Extremely satisfied and happy!The passive noise isolation is also amazing.One ear stopped working after a year but Sennheiser warranty replaced it without any questions.Just go for this one cause you possibly can't get one as good as this I'm the price range!
",5
8958,"Not so special because the sound quality & bass my expectation was much higher.
",2
6188,"After 3mths one headphone is not working now what's the procedure to return or repair
",1
4456,"comfort
",5
5996,"It is awesome under â‚¹2k but build quality is low and the product I received, the charging slot cover was loose and was coming out on its own. Delivery was also good.
",4
9670,"Class tbh...expected to be good
",5
9620,"Be connector not working
",5
13017,"It's ok. Not as good as expectedStill I trust amazon
",4
2929,"Worst product I ever had, within a month the product is not working properly. Very worst service by amazon to prime customer...
",1
14081,"Not good
",3
8627,"Wonderful product in this budget. Loud, clear and crisp. Not too bassy as Sony headsets
",5
12938,"Nice
",5
12993,"Nice sound but too weird to handle
",1
8426,"Nice product at this price. Can not compare to the expensive ear pods ,but then this one tops the list in this range.
",5
3245,"All good given average for battery life..
",5
2343,"I use same product before when I on it it's saying Boat 255 but this earphone not saying this. Just saying boat only means it's not same model which I ordered.
",4
13720,"Worst
",1
6763,"Nothing
",5
5035,"Sound quality is not like expected,Noise cancellation not well,Bluetooth connectivity is hardly 5 meters.
",1
2978,"Battery is good but range limit is bad and after some time you ear some sort of disturbance while playing anything ..
",1
12036,"Nice product. Worth money
",5
4507,"Really good product for it's price at 1k i wish they should provide with a carry case..
",4
1301,"I bought it at rupees 1099. Avarage sounds quality product. Can't believe avarage rating is 4. Also it pain in ear if used for more than half hour
",2
8942,"Not worth to 2k not at allNo bassNormal sound qualityVery expensiveInstead but ant w56
",3
12331,"Great sound. Convenient when exercising
",5
3567,"Battery backup should be improved for better performance.. But overall performance is good
",5
6801,"Amazing
",5
3704,"Puts high end brands to shame. The price at which I got it was the icing on the cake.
",5
439,"Damn good value for money and sound quality is excellent.  Noice cancellation quality is great. Only thing is the ear plug wire length is bit too long for my liking. Wish they could have shortened the length of the ear plug wire of the neck brace.
",4
8518,"Freakingly awesome! Good highs,lows and mids. Sufficient bass! Perfect sound clarity! Comfortable fit in ears! Good cable!  #2 year sennhiser warranty
",4
7325,"Pros:Great service by Sennheiser for warrantySound and Mic audio qualityloud and clearCons:Build quality, cables are delicate and need to be handled with carePassive noise cancellation is averagenot recommend for sports useBuy only if in the price range of 1300 to 1500 INR, (look out for offers) else go for RHA or others with better built.
",4
6654,"Already shared above
",5
1634,"Yes, i must say that boat has really improved. The sound and the build quality is really great battery back is also very amazing . And the best part is the real timing of pub g is also working well .
",5
12080,"very clear and worth the price...ll never regret
",5
2603,"Good for Base lovers. Battery backup is good and sound quality is good.
",5
7889,"It gives you better sound clarity, mikes have good surrounding noise suppression and you get it at a affordable price too..Plus,a neatly packed box ensures there is no damage during transit..
",5
1118,"Bought during offer just in 1000 rs.. sound quality is good..how long durable don't know
",4
6691,"This a very bad product
",1
9778,"Very good product
",5
1882,"1st month it was running fantastic. But now battery is getting drain automatically. Nd it's get switch off automatically again and again while using time.
",1
10992,"It has been a awesome experience.
",5
2850,"I got it for 1000 Rupees. Works well, sound quality is good and battery life is good as well
",5
8543,"I'm writing this review after using it for 2 months.These are possibly the best earphones present in this range.I got these for around 1.4K.The bass is excellent and the mic is good as well.What's more commendable is it's noise cancellation , i mean its great.The only con in this is its small size , but for which I'm certain everyone gets used to it eventually.
",5
7658,"As I was reading everyone review and it is as expected and even better. After reading all review I thought bass will not that great but I feel bass is also enough so I feel I got the great product and I am very happy with this.
",5
10863,"Always perfect
",5
6475,"Awesome
",5
9536,"2016 i have purchased...Now 2nd time also purchased.....Worth to buy it.
",5
10089,"The quality is not meeting my requirements. It's very low quality
",2
5761,"Good product
",5
13242,"Dont go for this....Voice Calling function is not appropriate as expected..
",2
7439,"It didn't last even for 2 month. I was very disappointed with the product as it stopped working suddenly despite good maintenance. I  always use Sennheiser's headphones. I think the product that I received is a duplicate one
",1
12680,"Do not even try to purchase blue color which looks weird! It won't get stick to your neck. Wires aren't lengthy due to which you cannot even talk on call
",3
6802,"Nothing
",5
5265,"This is a typical ""let's make a fool out of Indians"" product ... and I am a ""foolish Indian.""Here are a few facts about this product: It is made in China, like every other Indian product is. And on the streets of Shenzhen, you will find this product for less than INR 100. 150 tops. At that price, this would have been a 5 star product. But, at about INR 700 ... this is a pathetically low quality product that has NOT gone through quality control.Let's see what all is wrong with the product: The biggest flaw is that these jokers have packaged two ear-plugs (or whatever they are called) for only one side of the headset. What do I mean? See the attached photo. Those are two ear plugs that go over the RIGHT side of the headset! Two!! Putting it more clearly, there's no ear-plug for the left speaker on the headset!! Why is that a problem? Because the plastic material on the headset is so slippery that it is impossible for the headset to stay in your ears. Putting it more clearly, without those rubber ear-plugs, the headset keeps slipping off my ear, and will possibly slip out of every other ordinary human being's ears!Issue #2: the controller, where you have the on/off and volume control buttons is so heavy that, without the rubber paddings (ear plugs mentioned earlier) the headset keeps slipping off.Issue #3: Are you driving? Are you jogging? Are you in a typical Indian public transport that rattles you to the last bone? Nope! You can't use this headset, because it will keep slipping out of your ears.So, why didn't I return it? Because:1. I am a typical Indian who likes to be made a fool of by Indian companies,2. I am lazy,3. I just didn't want to wait for Amazon's pick up person to come ""anytime it suits him"" or call me and say that he will pick it up some other day at his convenience.Overall, I lost INR 700 by being a typical Indian fool who wants to use modern products and hopes, wishes and prays that some Indian company will make them available to him ... and then spend his hard earned money to get such a product - but in stead gets just a plastic casing for that high price.Bottom line: don't buy this piece of junk. I wasted my money, but you shouldn't!
",1
13127,"Aesthetically very good and sound too very good.
",5
12094,"Excellent product
",5
8584,"Ear phone comes out of ear while moving no matter the ear bud is.. Otherwise product is fine
",3
10737,"Can't point out any bad point at it bass sond quality ðŸ‘ŒðŸ‘Œ its just awesome
",5
11965,"Sound quality is poor as compared with price
",1
2766,"Within a month of use, the right earphone stopped working and there is no option to get it fixed of exchange. Waste of 1999/-
",1
6668,"Good product though
",3
13385,"Good
",4
13225,"Little bit low sound and medium bass
",4
11765,"By far the best in ear headphones in this price range. Well done Sennheiser
",5
1969,"Nice bluetooth headset with good battery life... Boat products are always  good in sound quality.... I got it for 1100 on a deal price great buy for the price....
",5
3964,"the output is average
",3
12471,"It seems good but...I am facing issue of Bluetooth connectivity...When i connect my phone to earphone ... And i go from 1 room to other room.... It gives me problems... Voice gets break and it gets disconnected..... Should i replace the product or ..... Any suggestions..... My room is 12/12 and flat is 950 square feet
",3
10768,"Excellent ear phones not a problem been faced with these earphones.
",5
2268,"Boat always rock...fast delivery.weight less,gud bass,voice clarity gud.budget wise gud.
",4
11213,"I link the headphone
",4
8217,"Very nice sound quality but coonecting wires are very thin.
",5
6425,"Quality is good, as expected out of JBL
",5
6103,"When we use randomly this product after 2 month the product front rubber are gone and i stetch by feviquick this rubber but it gone again.
",1
9743,"Superb..... Higher Quality of Bass..
",5
10678,"Good one
",4
12222,"I Bought this earphone this month and it stops working after 10 days..... Now i cant connect my earphones with my mobile.. IT sounds good but now its not pair with my phone
",1
10925,"Amazing product... This is my 3rd buy
",5
5848,"The sound quality and noise cancellation is good.Battery does not seem to last for 6 hours of usage.After 10 days of purchase, the devices  charging started giving problems. After several attempts it charged only till 70%.Return period is over. The customer care number of Harman company is always engaged.
",2
169,"The pity is that everything about these earphones are great, starting from the sound quality, the technology/user-friendliness, and even the instructions. But I don't know which genius came up with the earbud designs. They hurt a lot! Unless you insert them deep in your ears you won't really be able to get them to stay on. Inevitably after about 15 minutes of usage, your ears will ache. Therefore even though its a perfectly fine product in all other ways, its not very usable. A great pity.
",3
12069,"Awesome
",5
9337,"Worst than ever i brought ... I got a faulty product .. many items are faulty ... Please don't go with this product
",1
1295,"I didn't like the connectivity range. It is poor and pathetic. Dont even connecting if the phone is kept in Pant pockets. How come it is called as Sportz earphones. Definitely need improvements. Not worth of paying such a huge price.
",2
4337,"Awesome sound with bass..I got it for â‚¹999..For this price it's worth every penny.!Thank you Amazon.
",4
2524,"Very good product! Amazing sound quality and great battery life.
",5
8753,"I saw one of the review and was written that earphone is not working properly with L type connector.So i want to clear that, you should use L type connector if earphone doesn't get compatible with your phone.Else you can enjoy with your normal one.Recently bought this earphone and enjoying every bit of my music ;)
",5
12129,"Wire quality very bad
",1
10323,"The sound quality is just awesome as expected from sennheiser.Go for it!
",5
13105,"Nice decent earphines worth the price
",5
11232,"Good product
",4
4046,"Awsome
",5
10732,"Excellent
",5
2566,"Good product but battery backup not so good..........I'm using it for one and half week but the battery is dead with in 2hours
",3
1259,"Owesome product thanx to amazon for this product. Boat Rokerz 255 has owesome quality of sound and manufacturing also. Base is also high and deep . I loved this product ðŸ˜Š. Order kijiye is product ko bina tension bahot hi acha peice hai.
",5
57,"This Bluetooth  earphone  is just a beast  ! It has amazing  bass ! Sound quality  is just mind blowing  ! This product  is value for money  ! Suggeste you to buy these if you are looking  for amazing  earphones  under rs 2500 . These earphones  have a very good range and provide  a usage time of  7 hrs on a charge of 45 to 60 mins .
",5
12449,"Useless product and useless service.. I have purchased this 1 month back.. Now its not working.. And now jbl Harman india compony  are not responding.. Their customer service is not giving any response and also they are not replying of my any mail.. Worst product ever.. Do not buy at any cost even if they are giving u for free..
",1
11663,"Quality Control, great product.
",5
1948,"1 earpiece is not working in just 2 months !!!!!!Don't buy
",1
2960,"I like the sound quality it is fabulous in this one... Base is to the point...no ups and downs..â¤â¤â¤ overall a gr8 product!!!ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥
",5
7251,"I received my earphones today and although this review might be a little preemptive, I felt it was necessary to put in a word to address some concerns that potential buyers might have. One of the first concerns I had was if the product was fake; because a few other reviewers pointed to the same. As soon as I received the package, I went to the Sennheiser website to make sure that my product was genuine. It was, indeed. My primary concern allayed, I opened the package and I was very happy with everything. You get a 3.5mm adapter, extra ear buds, a pouch, and a manual. The earphones themselves are just fantastic, I tested them quite rigorously today and they held up very well. The bass is not extraordinary, but it's very good quite frankly speaking and unless you're an obsessive audiophile, you shouldn't be disappointed with the sound. The build quality is good, they don't feel cheap. I played a range of music, from your Bollywood numbers to trance to hip-hop to death metal to Djent even and found that the sound was quite good and enjoyable. At decent volumes, these earphones shut the world out and immerse you in the music completely. At the price, these earphones are a steal. I'll continue to use these and revise my review if they ever fall short of expectations.
",5
4601,"Food
",5
2228,"fair
",2
497,"I did not get the product  . Only empty box .
",1
10283,"awesome product nice voice quality i have got it only in 1300 rs may be i m a lucky one
",5
12465,"I bought this after my motorola verve loop plus stopped working. The sound quality is good with average battery life. Thr left earpiece stopped working after 2-3 days of use so returned.
",3
266,"1) Sound QualitySound quality is very bad their no bass it looks like a copy product of boat Samsungs wired handsfree are much batter than this handfrees.2) Not suitable for gyming purposes the handfree is only good when you are sitting at one place and using handfree.If you are not stable ate one place hanfree will come out from ears again and again.3) worst customer support from Amazon they are making customers fool by giving 10 days return policy after purchasing the product you can not replace or return your product they only show that you can return your product under 10 days but actually you can not.
",1
12833,"ok
",5
13638,"Wow product
",5
12907,"Very poor quality, worst buying ðŸ˜­ðŸ˜­Go buy sennheiser wired earphones
",1
11345,"Very bad  one side speaker is not working plz don't buy it
",1
3887,"Easy to use, great fit. Great sound quality.
",5
813,"GREAT EARPHONES FOR THE PRICE POINT BUT THE MICS ARE DAMN SENSITIVE! THEY WOULD PICKUP EVEN THE LOWEST OF THE SOUND AND MAKES IT UNBEARABLE WHILE CALLING! THATS THE ONLY THING WRONG WITH THIS EARPHONES,OTHER THAN THAT GOOD PAIR OF EARPHONES. DONT BUY THEM IF YOU WANT CALLING ALSO!
",4
10096,"Sound quality is Awsum.... I have only issue with wire
",5
6449,"Charge too slow than expect
",5
853,"Battery life is the worst thing....sound is good, bass is decent. Music Quality is like any other boat product. It is decent.
",4
8736,"Sound quality is good..with loud and bass.Treble is more.. which may be a problemWire quality is not that great..Calling works well..
",5
8781,"This earphone I have been using from last 6 months, and very happy for this superb quality and clear sound.but bass is not much good. otherwise its worthy.....
",5
5569,"Nice build quality.....nice sound.....nice bass....nice on call....i do not want give any nagative reviews....becous the headphone is very impressive....not so loud not so low....you feel comfortable with this....i know price is high for this.....but use krne me koi burai nhi h.....ðŸ˜ŠðŸ˜Š
",5
3504,"overall good for user but Battery Life not good.
",3
2988,"Spud quality is bit bad as go on using and buds are bit anoyee
",3
3686,"Best I've ever heard meet the standards set by Bose earphones worth 9k in quality but not in noise cancellation.
",5
1224,"The charge indicator is faulty.....not sure if it's only my product or everyone is facing the same issue
",3
1708,"It is a bass heavy earphone(had a nice & punchy bass). Although the normal songs are not great . Mic is on decent side. Built quality is good. Overall it is a nice product under 1199 .
",4
10606,"Prossound quality is good.very handy and easy to plug into ears.fits ergonomically within the ears.Cons.Very High pricing.
",5
9771,"Sound quality is okay
",4
4079,"Gud
",5
11257,"Best
",4
7067,"The worth the purchase. Still the battery backup never seemed 6 hours per 2 hour of charging. The sound quality is good. Very conformable to wear compared to other in-Ear models. Connectivity is on the spot too. The wires feel confident against breakin or snapping. I like it. But the soft rubber coating on the left ear came off in month. Rough usage ðŸ˜…
",5
4359,"I used it hardly for a month and now it is not working
",1
10927,"This product is amazing!  Worth the price.. Must buy!
",5
12954,"It is not good. Not working after 10 DAYS.
",1
7865,"I bought this item to play pubg and I am not able to identify the foot step position through this. My last headphone did that, but it does not hold in to my ears.No other complaints regarding this item.And I cant return this item.
",4
2127,"Packaging superb, voice quality is excellent. Overall good product
",5
4294,"Good, but Bluetooth disconnects automatically
",5
11647,"Very nice
",5
296,"Durability : Left ear phone has stopped working !!This is within 25 days of buying the product. Suggest not to buy this product .
",1
7750,"No words to explain I'm in love with the earphones has awesome sound quality and high output...  Previously I used to put full volume in other earphones but in this one I just use 50% and it's still very loud and clear...  There is also a little noise cancellation as well... Overall amazing and superb earphones
",5
1285,"Uncomfortable to wear to the extent that one cannot wear them for more than an hour. The earbuds are so heavy that the ear starts to ache. Does not support discord call while gaming...huge disappointment. Mike isn't that great either.
",1
1302,"Sound quality is too good. Love this product who like great Bass. Go for it to experience great music.Rating according to meBass : 5/5Build Quality : 4.5/5Battery : 4.5/5Bluetooth Range : 3/5
",5
14050,"Hi, I need to return JBL earphone as battery only last for 20-30min after full charging. Please share return policy.
",1
177,"I used this headphone since 15th october ... today is 6th november ..build quality is great .. Styling is also great..I am getting 6-8 hours of battery backup with standby for 4 to 5 days... awasm battery backup..Coming  to sound quality,,, the punch of bass is just solid,, the midrange is also great,, high is little bit low,, but ok,, overall very very good sound quality... i was not accepting this type of sound quality ....also sound output is very loud...if u have a budget of 1.5k... just go for it.... u will be happy for sure.. and in this budget point,, there are no headphone that will compete this BOAT...A QUALITY PRODUCT FROM A QUALITY BRAND.....
",5
6690,"Its fine not very good.
",3
5152,"Good product. Only issue is Bluetooth connectivity distance is quite less.
",5
3320,"Not good
",1
10050,"Just the name is enough. You can buy this with your eyes closed.
",5
5347,"It's good for the value
",4
12055,"Don't waste your time to read the reviews for this product it's sennheiser man just buy it and njoy it.
",5
10894,"Its decent. Okayish for calls.
",4
5125,"Awesome Product for this price range..I like the Sound Quality & the battery backup.
",5
11449,"Best earphone for music lovers sound quality really nice
",5
8737,"Sound quality is amazing. Bass is too high and sometimes it causes pain. Wires and too thin and it could get damaged easily. Overall it was a good earphone.
",3
11254,"Great value for money..! Now cancellation at its best
",5
8729,"Really impressed with  audio quality.  Mic and call take/end button  works great, plus change tracks. The adapter it comes with is for  older generations smartphones that have different trrs adapter.
",5
9622,"Fits well , lite weight and awesome sound clarity and bass , thanks Amazon for lighting deal vth 1450/-
",5
4717,"Awesome
",5
3448,"Very good product . Only cons is low bass effect. But it does great . Thank you boat!
",5
11736,"Very good
",5
12311,"Could be more comfortable, doesn't rest properly on the neck.
",4
9595,"In single word,  Awesome this product. I have purchased this item for 1400/- before GST. Now it would be around 2000/-
",5
2503,"Sound quality average but build quality awesome.
",4
2110,"worst product ever used.. discharge in 1 hr no matter how long u charge and if u try to return they will not accept ur return. in short u r stuck with product once bought
",1
7626,"Awesome sound quality. You can feel the audio crystal clear with amazing effects and I love it. It's much better than Jbl T series. Control & mic works good.
",5
9215,"This is my second product. The first one i lost in a uber ride after using it for a year. Absolutely love it.
",5
4903,"Nice product
",5
7168,"Not satisfied with battery and its not stuck on ear . When i buy it shows u can return but now not  this oration when i have it only replacement iam not getting whats wrong with amazon i love to buy but this time very very disappointed . N now its not working tooo
",1
5742,"Awesome
",5
11626,"Crystal clear sound.
",5
3752,"Extremely poor functionality.Within 10 days of delivery,the mic of the Bluetooth stopped working.Highly disappointed!
",1
2543,"Happy with this Product. Nice. Good performance. Battery life, Bass is superb
",5
1681,"These earphones have good sound quality n proper base too and all the features are working good till now (5 days use) let's see how its durability now
",5
4851,"Build and sound both quality is poor. There are many options at this price.
",2
9819,"Noise cancellation s awsome.. bass not as expected... but decent product
",4
14305,"Bluetooth connectivity was not good.returned because
",4
6435,"It is good worth for money
",4
4080,"This earphone sound very good bass very good battery life super all the best Bluetooth earphone boat 255
",5
5906,"Best wireless earbuds in this range but still I returned it because of the design. The bud design are damn uncomfortable and will give you a pain after a while as there is no rubber buds. Otherwise wonderful sound and bass is also pure
",3
12856,"Bass good enough.. microphone little problem ur listener will tell not hearing loudly
",4
13545,"Okay okay
",3
13986,"Sound quality of JBL is good. But headphone does not work when you are going to use your phone with JIOFI or WIFI. While talking to the phone, the noise stops.
",3
65,"Just got this and I must say that the build quality is great. Coming to the sound it has really good bass. Can't comment of the battery yet as I just got it. I will update the review later after checking the battery backup.Edit: So, after using it for few days, the battery easily lasts for a day and half a per my usage which includes 1-1.5 hrs of music, one movie (1.5-2hrs) and one episode of Tv series (40-50mins). I end a with 40% battery left as per above usage.
",5
9326,"Its not an excellent product.Best point is you can hear every instrument sound.Negative point is you have to balance sound in equaliser as the sound doesn't comes balanced.Overall its OK..but dint meet my expectations.
",4
9569,"Very good product from Sennheiser with 2 years of brand warranty. Sound quality is really nice.
",5
4145,"Battery life good but for headphones freak it's not enough.
",5
5334,"Disappointed with the performance not getting the sufficient battery backup maximum of 1.7hrs average. Also it's turned off automatically some time.
",3
13678,"Not good
",1
3542,"Nice product
",5
7966,"sound quality is good. only drawback no valume up and down button in headphone
",5
6899,"Dare to listen
",5
4619,"Actual price is 1,999/- but got it for 1,200/- wn there was an offer.WoRth
",5
4397,"Could not able to connect with One plus Device
",1
10412,"The Jack portion got crack. Not been 1 year
",4
4288,"Superb sound quality at very reasonable price...
",5
7540,"Awesome sound and hearing quality. Good for your morning walks and business calls.Delicate wires, Beautiful pouch comes with the pack.I did a good amount of research before picking this model.Worth the money!
",5
12330,"Low quality product
",1
2966,"Overall good one I got it for 1300 one thing that irritating me is it's getting little in comfortable when we are using while sleeping.
",4
6616,"Gd to use
",3
6769,"Good for music
",4
8305,"Itâ€™s just as the description got a lovely pouch sounds good .. also noise cancelling
",5
9274,"Sound quality is good but cable quality is not up to the mark..
",2
4005,"Excellent product. The best in its price segment
",5
5507,"Price must be less
",4
137,"Sound quality is good for music only... battery :  working only for 2:00-2:30 hours maxMic: very bad everyone complaining that your voice is not coming proper.when you're doing video calling voice is not in sync..its come bit letter 1-2 seconds..and same thing happen when you sre playing game..PUBGðŸ˜€ðŸ˜€  . I am returning this.Product is not as per expectations...
",2
11958,"The best earphone
",5
10410,"This is my second pair in 4 yrs....and they are really good !!
",5
757,"The headphones are quite good at price which I brought, but the packing box ðŸ“¦ is worst ðŸ‘Ž it got fully damaged when I received please see the images which I attacked,  sounds ðŸ”Š quality is ok and finished also but not best ðŸ‘ðŸ’¯ over all  I give 3star for this product but for package manufacturing and handling 1star â­
",2
12994,"It read gave me ear pain .
",1
387,"Sound quality is not so good and not so bad, I'd say average. Bass is good but not so strong with treble. But the main problem is the durability. In 3 months, battery started draining in an just an hour long usage and also phone calls stopped working. This is the second time I'm having a terrible experience with BOAT earphones, earlier with a different model. I'm really starting to think if they're worth it because of this durability concerns.
",2
12021,"Cloudtail excellent service about the sound quality of product amazing marvelous thumbs up to the cloudtail and speechless for sennheiser CX 275s .
",5
10755,"Nice product!
",4
3987,"Sound quality is best
",3
7275,"After using 1 month the jack pin wire start giving trouble hence, I would suggest Dont buy. They had mentioned warranty and all but in actual there is no warranty and amazon will not be able to replace it once it is damaged.
",1
2471,"after 15days its misbehave , headphone has conneted  showing but its not works every 20-30mints restarts the boAt Rockerz 255 Sports Bluetooth headphones.
",2
1102,"The headphone base is simply awseom,but i brought for playing pubg this headset is not good for gameing and the mic is waste  waste of money but thus has the light weight and heavy battry backup
",3
10957,"This head phone is fabulous, mind blowing sound quality. Nice packageing.Over all its a superb head phone
",5
13885,"Good
",5
9125,"Awesome quality.. Worth buying this product.I replaced this with my iPhone earphone because of its ear buds.Ear buds are so comfortable than JBL.
",5
11656,"bad quality cx180 is much better than this....dont waste money guys
",1
8792,"I had the cx 180 before they were a pretty good pair of earphones then I decided to buy a new one and that was the cx 275s and that decision was perfect these earphones are awesome they provide the perfect base and treble I will strongly recommend these earphones to everyone
",5
8116,"The sound quality is good, no doubt. But the wires seems too traditional for a earphone when jacketed wires (cloth covered which do not mess in pocket) are in the market, making it less durable.
",4
9048,"0 bass, worst quality for sennheiser, 180 is way better than this.
",1
461,"Bought on 8th September 2018With in 4 month both ear buds are not working. I made a request for replacement after the 1 month I got the replacement for my earphone .I got new earphone from boat .After 2 month I could not be able to charge my earphone ...both ear buds have problem I could not be able to hear sound clearly .Don't buy it .I have worst experience with boat.
",2
10873,"Its build is such that it also provides passive noise cancelling to some extent.
",5
7502,"I have been using Sennheisers for a long time, I love the sound which comes from them. It's the same Sennheiser sound, good bass, balanced and well tuned. Don't depend on the wires as it looks very flimsy, always keep them in the pouch and don't sleep wearing them
",4
3740,"It's very good
",4
14051,"Sonds good but not like iphone earphone
",4
